rate	block	order	mode	variant	instrumented	valid	accepted_pps	loss	conservation	cycles_per_pkt	l2_fills_per_pkt	ccx_fills_per_pkt	dram_fills_per_pkt	invalid_reasons	file
14880952	1	1	skb	read-data	1	True	1241295.0	0.91463	1.0	2572.8	4.5832	1.1473	0.0633	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143106Z_xdp_drop_14880952.json
14880952	1	2	native	no-touch	1	True	14275851.6	0.038508	1.0	223.7	0.8042	0.0749	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143155Z_xdp_drop_14880952.json
14880952	1	3	native	read-data	1	True	11334584.2	0.234544	1.0	281.7	0.3091	0.0849	0.2787	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143243Z_xdp_drop_14880952.json
14880952	1	4	skb	no-touch	1	True	1247675.0	0.915578	1.0	2559.55	4.8499	0.3137	0.0656	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143331Z_xdp_drop_14880952.json
14880952	1	1	native	no-touch	0	True	14227090.2	0.042573	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143419Z_xdp_drop_14880952.json
14880952	1	2	skb	read-data	0	True	1247487.5	0.915334	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143507Z_xdp_drop_14880952.json
14880952	1	3	native	read-data	0	True	11260208.1	0.24181	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143555Z_xdp_drop_14880952.json
14880952	1	4	skb	no-touch	0	True	1249841.6	0.915895	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143643Z_xdp_drop_14880952.json
1000000	1	1	skb	read-data	1	True	999997.0	0.0	1.0	2771.48	7.7149	0.3312	0.0327	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143731Z_xdp_drop_1000000.json
1000000	1	2	skb	no-touch	1	True	1000002.5	0.0	1.0	2771.87	7.4068	0.3263	0.0333	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143818Z_xdp_drop_1000000.json
1000000	1	3	native	no-touch	1	True	1000005.8	0.0	1.0	411.57	0.4109	0.062	0.0189	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143906Z_xdp_drop_1000000.json
1000000	1	4	native	read-data	1	True	1000002.0	0.0	1.0	455.19	0.4673	0.0636	0.2373	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T143954Z_xdp_drop_1000000.json
7500000	1	1	skb	read-data	1	True	1244062.7	0.834125	1.0	2567.06	5.9738	0.4559	0.0653	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144042Z_xdp_drop_7500000.json
7500000	1	2	native	read-data	1	True	7497740.9	0.0	1.0	341.14	0.4677	0.0661	0.2175	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144130Z_xdp_drop_7500000.json
7500000	1	3	native	no-touch	1	True	7500015.5	0.0	1.0	317.52	0.3887	0.0663	0.0102	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144217Z_xdp_drop_7500000.json
7500000	1	4	skb	no-touch	1	True	1248095.7	0.833591	1.0	2558.71	5.9939	0.325	0.0649	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144306Z_xdp_drop_7500000.json
14500000	1	1	native	no-touch	1	True	14302408.2	0.01363	1.0	223.29	0.3596	0.0413	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144353Z_xdp_drop_14500000.json
14500000	1	2	skb	read-data	1	True	1249273.6	0.913845	1.0	2555.96	5.8277	0.2927	0.0664	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144441Z_xdp_drop_14500000.json
14500000	1	3	native	read-data	1	True	11638567.0	0.19732	1.0	274.27	0.2617	0.0602	0.2236	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144529Z_xdp_drop_14500000.json
14500000	1	4	skb	no-touch	1	True	1246195.5	0.914058	1.0	2562.45	5.8098	0.8264	0.0638	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144617Z_xdp_drop_14500000.json
5000000	1	1	skb	read-data	1	True	1241039.2	0.751796	1.0	2573.15	5.9514	0.8368	0.0641	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144704Z_xdp_drop_5000000.json
5000000	1	2	skb	no-touch	1	True	1246490.7	0.750703	1.0	2561.9	5.6589	0.7895	0.0636	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144752Z_xdp_drop_5000000.json
5000000	1	3	native	read-data	1	True	4999993.5	0.0	1.0	453.56	0.7592	0.09	0.5615	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144840Z_xdp_drop_5000000.json
5000000	1	4	native	no-touch	1	True	4999927.0	0.0	1.0	390.91	0.3965	0.0908	0.0163	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T144927Z_xdp_drop_5000000.json
11000000	1	1	skb	no-touch	1	True	1246267.5	0.886707	1.0	2562.57	5.907	0.7238	0.0641	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145015Z_xdp_drop_11000000.json
11000000	1	2	skb	read-data	1	True	1244637.0	0.886855	1.0	2565.71	5.8993	0.7207	0.0642	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145103Z_xdp_drop_11000000.json
11000000	1	3	native	read-data	1	True	9238509.4	0.16014	1.0	345.29	0.691	0.0435	0.6609	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145150Z_xdp_drop_11000000.json
11000000	1	4	native	no-touch	1	True	10999740.9	0.0	1.0	253.76	0.6028	0.0575	0.0038	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145238Z_xdp_drop_11000000.json
11500000	1	1	native	read-data	1	True	11499993.1	0.0	1.0	275.95	0.2931	0.0707	0.2054	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145326Z_xdp_drop_11500000.json
11500000	1	2	skb	read-data	1	True	1247102.3	0.89156	1.0	2560.66	6.1292	0.2868	0.0647	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145414Z_xdp_drop_11500000.json
11500000	1	3	skb	no-touch	1	True	1252616.4	0.891078	1.0	2549.54	6.4396	0.2492	0.063	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145502Z_xdp_drop_11500000.json
11500000	1	4	native	no-touch	1	True	11500016.9	0.0	1.0	251.19	0.3673	0.0585	0.0036	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145549Z_xdp_drop_11500000.json
10500000	1	1	skb	read-data	1	True	1248598.9	0.881088	1.0	2557.73	6.7961	0.2949	0.0642	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145637Z_xdp_drop_10500000.json
10500000	1	2	native	no-touch	1	True	10500035.7	0.0	1.0	258.31	0.3802	0.0778	0.0044	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145725Z_xdp_drop_10500000.json
10500000	1	3	native	read-data	1	True	9006012.0	0.142287	1.0	354.15	0.8031	0.0738	0.7475	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145813Z_xdp_drop_10500000.json
10500000	1	4	skb	no-touch	1	True	1245644.6	0.881371	1.0	2563.81	6.0433	0.3289	0.0642	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145900Z_xdp_drop_10500000.json
2000000	1	1	skb	read-data	1	True	1241322.6	0.379342	1.0	2572.52	5.7408	0.3023	0.0633	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T145948Z_xdp_drop_2000000.json
2000000	1	2	native	no-touch	1	True	2000003.0	0.0	1.0	419.32	0.3973	0.075	0.0196	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150036Z_xdp_drop_2000000.json
2000000	1	3	native	read-data	1	True	2000012.9	0.0	1.0	502.9	0.7216	0.0662	0.4834	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150124Z_xdp_drop_2000000.json
2000000	1	4	skb	no-touch	1	True	1246068.7	0.376968	1.0	2562.95	5.606	0.2998	0.0652	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150212Z_xdp_drop_2000000.json
4500000	1	1	skb	read-data	1	True	1244917.8	0.723356	1.0	2565.32	5.7302	0.3145	0.0644	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150259Z_xdp_drop_4500000.json
4500000	1	2	skb	no-touch	1	True	1244843.5	0.723373	1.0	2565.43	5.7275	0.3318	0.0659	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150347Z_xdp_drop_4500000.json
4500000	1	3	native	read-data	1	True	4500012.1	0.0	1.0	439.19	0.4861	0.0988	0.2438	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150434Z_xdp_drop_4500000.json
4500000	1	4	native	no-touch	1	True	4500016.9	0.0	1.0	405.18	0.3935	0.0695	0.0157	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150522Z_xdp_drop_4500000.json
750000	1	1	native	no-touch	1	True	750000.0	0.0	1.0	412.43	0.3778	0.0729	0.0188	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150610Z_xdp_drop_750000.json
750000	1	2	skb	no-touch	1	True	749999.3	0.0	1.0	2848.14	7.9047	0.7872	0.0293	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150658Z_xdp_drop_750000.json
750000	1	3	skb	read-data	1	True	750004.4	0.0	1.0	2856.23	7.8692	0.802	0.0296	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150745Z_xdp_drop_750000.json
750000	1	4	native	read-data	1	True	750000.9	0.0	1.0	511.15	0.7865	0.095	0.6094	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150833Z_xdp_drop_750000.json
9500000	1	1	native	read-data	1	True	9500057.5	0.0	1.0	300.48	0.41	0.0863	0.2048	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T150921Z_xdp_drop_9500000.json
9500000	1	2	skb	no-touch	1	True	1248170.2	0.868619	1.0	2558.42	6.3946	0.3247	0.0652	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151009Z_xdp_drop_9500000.json
9500000	1	3	skb	read-data	1	True	1242549.4	0.869209	1.0	2570.17	5.9898	0.4124	0.0642	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151056Z_xdp_drop_9500000.json
9500000	1	4	native	no-touch	1	True	9500028.5	0.0	1.0	268.93	0.3985	0.073	0.0053	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151144Z_xdp_drop_9500000.json
6000000	1	1	skb	no-touch	1	True	1240975.5	0.793174	1.0	2573.43	6.2472	1.1256	0.0637	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151232Z_xdp_drop_6000000.json
6000000	1	2	native	no-touch	1	True	5999978.9	0.0	1.0	352.14	1.1689	0.0818	0.0128	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151319Z_xdp_drop_6000000.json
6000000	1	3	native	read-data	1	True	6000023.4	0.0	1.0	380.43	0.4373	0.0769	0.2234	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151407Z_xdp_drop_6000000.json
6000000	1	4	skb	read-data	1	True	1246465.9	0.792256	1.0	2561.99	6.2548	0.4056	0.064	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151455Z_xdp_drop_6000000.json
6500000	1	1	native	no-touch	1	True	6499975.8	0.0	1.0	336.44	0.5534	0.0734	0.0124	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151543Z_xdp_drop_6500000.json
6500000	1	2	skb	no-touch	1	True	1247291.3	0.808109	1.0	2560.05	5.6864	0.52	0.064	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151631Z_xdp_drop_6500000.json
6500000	1	3	native	read-data	1	True	6499989.7	0.0	1.0	382.89	0.6466	0.0952	0.4154	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151718Z_xdp_drop_6500000.json
6500000	1	4	skb	read-data	1	True	1244041.7	0.808608	1.0	2567.14	6.1658	0.7102	0.0637	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151806Z_xdp_drop_6500000.json
14000000	1	1	skb	read-data	1	True	1239212.9	0.911482	1.0	2577.05	6.1776	0.6977	0.064	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151854Z_xdp_drop_14000000.json
14000000	1	2	skb	no-touch	1	True	1245123.9	0.911059	1.0	2564.8	5.8517	0.6684	0.0639	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T151941Z_xdp_drop_14000000.json
14000000	1	3	native	read-data	1	True	10363361.8	0.25976	1.0	308.11	0.4542	0.0596	0.4322	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152029Z_xdp_drop_14000000.json
14000000	1	4	native	no-touch	1	True	13999984.8	0.0	1.0	227.44	0.8713	0.05	0.0001	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152117Z_xdp_drop_14000000.json
14000000	1	1	native	no-touch	0	True	13999995.8	0.0	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152205Z_xdp_drop_14000000.json
14000000	1	2	native	read-data	0	True	8257406.1	0.410185	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152252Z_xdp_drop_14000000.json
14000000	1	3	skb	no-touch	0	True	1250093.3	0.910709	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152340Z_xdp_drop_14000000.json
14000000	1	4	skb	read-data	0	True	1247985.1	0.910862	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152428Z_xdp_drop_14000000.json
12500000	1	1	native	read-data	1	True	11752415.5	0.05981	1.0	271.71	0.2595	0.0627	0.2155	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152515Z_xdp_drop_12500000.json
12500000	1	2	skb	no-touch	1	True	1245767.8	0.900342	1.0	2563.52	6.2549	0.3121	0.0646	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152603Z_xdp_drop_12500000.json
12500000	1	3	skb	read-data	1	True	1245857.5	0.900333	1.0	2563.44	6.1353	0.2781	0.0647	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152651Z_xdp_drop_12500000.json
12500000	1	4	native	no-touch	1	True	12499924.7	0.0	1.0	246.07	0.4339	0.0577	0.0011	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152739Z_xdp_drop_12500000.json
3500000	1	1	skb	read-data	1	True	1242109.1	0.645106	1.0	2571.15	6.6753	1.1822	0.0634	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152827Z_xdp_drop_3500000.json
3500000	1	2	skb	no-touch	1	True	1244380.9	0.644467	1.0	2566.48	5.5493	1.1545	0.0635	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T152914Z_xdp_drop_3500000.json
3500000	1	3	native	read-data	1	True	3500014.4	0.0	1.0	556.32	1.1155	0.1032	0.8718	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153002Z_xdp_drop_3500000.json
3500000	1	4	native	no-touch	1	True	3500003.6	0.0	1.0	419.79	0.5513	0.0604	0.0192	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153050Z_xdp_drop_3500000.json
8500000	1	1	native	read-data	1	True	8499820.0	0.0	1.0	331.13	0.5953	0.0935	0.4125	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153137Z_xdp_drop_8500000.json
8500000	1	2	skb	read-data	1	True	1244606.2	0.85358	1.0	2565.94	5.9676	0.3294	0.0648	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153225Z_xdp_drop_8500000.json
8500000	1	3	native	no-touch	1	True	8500044.3	0.0	1.0	287.22	1.1949	0.0829	0.0079	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153313Z_xdp_drop_8500000.json
8500000	1	4	skb	no-touch	1	True	1241484.9	0.853946	1.0	2572.54	5.8147	1.073	0.0635	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153401Z_xdp_drop_8500000.json
500000	1	1	native	read-data	1	True	500000.5	0.0	1.0	522.37	0.9633	0.1202	0.7887	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153448Z_xdp_drop_500000.json
500000	1	2	native	no-touch	1	True	499999.0	0.0	1.0	388.28	0.5286	0.085	0.0164	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153536Z_xdp_drop_500000.json
500000	1	3	skb	no-touch	1	True	500001.0	0.0	1.0	2808.54	7.7811	0.8829	0.0274	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153624Z_xdp_drop_500000.json
500000	1	4	skb	read-data	1	True	500000.3	0.0	1.0	2808.42	7.8934	0.8888	0.0274	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153711Z_xdp_drop_500000.json
250000	1	1	native	no-touch	1	True	250001.2	0.0	1.0	523.93	0.9548	0.0828	0.0311	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153759Z_xdp_drop_250000.json
250000	1	2	skb	no-touch	1	True	250001.3	0.0	1.0	2859.51	8.6704	0.5303	0.0332	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153847Z_xdp_drop_250000.json
250000	1	3	native	read-data	1	True	249999.6	0.0	1.0	615.81	0.848	0.0941	0.6018	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T153935Z_xdp_drop_250000.json
250000	1	4	skb	read-data	1	True	250000.8	0.0	1.0	2869.9	8.3134	0.3549	0.0332	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154023Z_xdp_drop_250000.json
12000000	1	1	native	read-data	1	True	11275955.0	0.060338	1.0	283.19	0.317	0.0581	0.2911	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154110Z_xdp_drop_12000000.json
12000000	1	2	skb	read-data	1	True	1243477.5	0.896362	1.0	2568.29	5.9082	1.2048	0.0632	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154158Z_xdp_drop_12000000.json
12000000	1	3	skb	no-touch	1	True	1246555.2	0.896122	1.0	2561.94	6.3783	1.1697	0.0632	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154246Z_xdp_drop_12000000.json
12000000	1	4	native	no-touch	1	True	12000002.6	0.0	1.0	247.72	1.1279	0.0494	0.0022	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154333Z_xdp_drop_12000000.json
3000000	1	1	native	read-data	1	True	3000004.3	0.0	1.0	508.63	0.6827	0.0911	0.4612	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154421Z_xdp_drop_3000000.json
3000000	1	2	native	no-touch	1	True	3000005.2	0.0	1.0	430.03	0.5408	0.067	0.0206	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154509Z_xdp_drop_3000000.json
3000000	1	3	skb	read-data	1	True	1246287.6	0.584576	1.0	2562.62	6.6452	0.3868	0.0643	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154557Z_xdp_drop_3000000.json
3000000	1	4	skb	no-touch	1	True	1246886.7	0.584372	1.0	2561.3	6.1338	0.42	0.0641	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154644Z_xdp_drop_3000000.json
1500000	1	1	native	read-data	1	True	1500006.0	0.0	1.0	547.03	0.9323	0.0853	0.7434	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154732Z_xdp_drop_1500000.json
1500000	1	2	skb	no-touch	1	True	1241149.1	0.172569	1.0	2573.06	6.6485	0.9727	0.0637	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154820Z_xdp_drop_1500000.json
1500000	1	3	skb	read-data	1	True	1243148.3	0.171236	1.0	2569.04	5.7209	0.9275	0.0643	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154907Z_xdp_drop_1500000.json
1500000	1	4	native	no-touch	1	True	1500003.1	0.0	1.0	426.3	1.0728	0.0649	0.0198	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T154955Z_xdp_drop_1500000.json
9000000	1	1	skb	no-touch	1	True	1245200.0	0.861648	1.0	2564.68	5.8615	0.3087	0.0651	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155043Z_xdp_drop_9000000.json
9000000	1	2	skb	read-data	1	True	1242166.2	0.861984	1.0	2571.02	5.1553	0.3294	0.065	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155130Z_xdp_drop_9000000.json
9000000	1	3	native	read-data	1	True	8420443.3	0.064399	1.0	378.98	0.9009	0.0552	0.9001	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155218Z_xdp_drop_9000000.json
9000000	1	4	native	no-touch	1	True	9000017.2	0.0	1.0	277.74	1.1225	0.0616	0.0063	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155306Z_xdp_drop_9000000.json
4000000	1	1	skb	read-data	1	True	1241045.0	0.689742	1.0	2573.44	5.4418	0.828	0.0636	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155354Z_xdp_drop_4000000.json
4000000	1	2	skb	no-touch	1	True	1244866.4	0.688787	1.0	2565.48	5.0221	0.8051	0.0635	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155441Z_xdp_drop_4000000.json
4000000	1	3	native	no-touch	1	True	4000004.0	0.0	1.0	403.16	0.7563	0.0636	0.0176	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155529Z_xdp_drop_4000000.json
4000000	1	4	native	read-data	1	True	4000008.3	0.0	1.0	460.33	0.5137	0.0948	0.3433	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155617Z_xdp_drop_4000000.json
13500000	1	1	native	no-touch	1	True	13500008.4	0.0	1.0	233.77	0.4737	0.0697	0.0004	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155705Z_xdp_drop_13500000.json
13500000	1	2	skb	read-data	1	True	1247520.3	0.907596	1.0	2559.84	5.0222	0.2885	0.0651	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155752Z_xdp_drop_13500000.json
13500000	1	3	skb	no-touch	1	True	1249875.9	0.907418	1.0	2554.87	4.959	0.3072	0.0652	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155840Z_xdp_drop_13500000.json
13500000	1	4	native	read-data	1	True	11809543.6	0.125224	1.0	270.38	0.2548	0.0654	0.2194	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T155928Z_xdp_drop_13500000.json
13000000	1	1	native	no-touch	1	True	12999989.4	0.0	1.0	238.89	0.6197	0.079	0.0008	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T160015Z_xdp_drop_13000000.json
13000000	1	2	native	read-data	1	True	9113546.9	0.298951	1.0	350.31	0.7324	0.0865	0.7125	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T160103Z_xdp_drop_13000000.json
